name,plddt,loss,aa_a2m_num,aa_a3m_num,struct_num
A0A140D2T1_ZIKV_Sourisseau_2019,65.00487161171473,1.1067392826080322,16501,1464,4223
A0A192B1T2_9HIV1_Haddox_2018,74.75617399023524,0.7541300058364868,74854,11017,657
A0A1I9GEU1_NEIME_Kennouche_2019,93.38067669172932,0.4926459789276123,5553,23475,2260
A0A247D711_LISMN_Stadelmann_2021,91.59233893557423,0.7863499522209167,57,38,3261
A0A2Z5U3Z0_9INFA_Doud_2016,86.67465227272727,0.8727229237556458,57581,1238,3248
A0A2Z5U3Z0_9INFA_Wu_2014,86.90170890334154,0.8727229237556458,57581,1238,3233
A4D664_9INFA_Soh_2019,91.39040341796074,0.780388593673706,26683,168,650
A4GRB6_PSEAI_Chen_2020,90.74477112676055,0.6644652485847473,108496,3487,4282
A4_HUMAN_Seuma_2022,67.49939080459771,0.5848473906517029,5272,15040,575
AACC1_PSEAI_Dandage_2018,89.75672035139092,0.7307319045066833,539868,4128,5679
ACE2_HUMAN_Chan_2020,90.3445121202823,0.725662350654602,11106,8691,2273
ADRB2_HUMAN_Jones_2020,77.4885006119951,0.7459978461265564,204722,11678,5311
AICDA_HUMAN_Gajula_2014_3cycles,89.19467179183916,0.6101241111755371,18148,2605,4742
AMFR_HUMAN_Tsuboyama_2023_4G3O,97.15911917098444,1.0443506240844727,17787,2480,1174
AMIE_PSEAE_Wrenbeck_2017,97.91922848664689,0.7597096562385559,140703,2425,3454
ANCSZ_Hobbs_2022,82.40625474146536,0.7039426565170288,7424,17301,6273
ARGR_ECOLI_Tsuboyama_2023_1AOY,92.87123411978222,0.8115498423576355,21443,6836,4508
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,60.2062958199357,0.747610330581665,660,628,0
BBC1_YEAST_Tsuboyama_2023_1TG0,97.50011472275337,0.913441002368927,604824,7961,5700
BCHB_CHLTE_Tsuboyama_2023_2KRU,92.13533175355452,1.0136433839797974,12079,6263,3671
BLAT_ECOLX_Deng_2012,94.17457259158752,0.6864135265350342,209644,7774,4752
BLAT_ECOLX_Firnberg_2014,94.11493579635054,0.6864135265350342,209644,7774,4376
BLAT_ECOLX_Jacquier_2013,94.17457259158752,0.6864135265350342,209644,7774,4752
BLAT_ECOLX_Stiffler_2015,94.17457259158752,0.6864135265350342,209644,7774,4752
BRCA1_HUMAN_Findlay_2018,39.56951405594887,0.715379536151886,1008,14109,1540
BRCA2_HUMAN_Erwood_2022_HEK293T,39.212485264133456,0.7246501445770264,933,2297,1131
C6KNH7_9INFA_Lee_2018,85.76086461126006,0.9732233881950378,57453,1232,3239
CALM1_HUMAN_Weile_2017,83.281031543052,0.4484024941921234,177633,21326,5839
